date,text,compound,positive,negative,neutral,source,sentiment
2021-05-10 18:11:45+00:00,"Seven of Apple's suppliers were found to be linked to suspected forced labor of Uyghur Muslims and other persecuted groups sourced from the Xinjiang region, according to an investigation by The Infor… [+3272 chars]",-0.7351,0.0,0.188,0.812,StockNews.com,0
2021-05-10 22:20:50+00:00,This story originally appeared on StockNewsThree of the biggest tech companies in the world recently posted stellar earnings. While the majority of companies in the S&amp;P 500 beat analyst estimates… [+6341 chars],0.0,0.0,0.0,1.0,Business Insider,0
2021-05-11 13:52:35+00:00,"This story originally appeared on StockNewsAs most companies have reported earnings for the first quarter, two stand out with massive growth, Apple (AAPL) and Facebook (FB). With Facebook facing chan… [+7604 chars]",0.3818,0.077,0.0,0.923,CNN,1
2021-05-17 14:31:29+00:00,"This story originally appeared on StockMarket4 Top Tech Stocks To Watch Right Now
Investors in tech stocks have not had the best time in the stock market lately. However, if we are looking at it lon… [+6830 chars]",-0.3753,0.044,0.082,0.874,AppleInsider,0
2021-05-18 12:36:45+00:00,"This story originally appeared on StockMarketTop Robinhood Stocks That Are Trending In The Stock Market Now
Finding the best stocks to buy on Robinhood has become extremely popular among all types o… [+6604 chars]",0.807,0.186,0.0,0.814,9to5Mac,1
2021-05-20 14:32:21+00:00,"Apple's computers, from its iconic iMac to the latest MacBook, are getting slammed by 
 malware and viruses.
That's according to Apple senior VP Craig Federighi's sworn testimony given on Wednesday… [+2564 chars]",0.0,0.0,0.0,1.0,Business Insider,0
2021-05-21 05:21:23+00:00,"Snap Inc. (NYSE: SNAP), the parent company of Snapchat, unveiled an augmented-reality version of its Spectacles smart glasses on Thursday.
What Happened: The new Spectacles have built-in AR displays… [+1970 chars]",0.4019,0.083,0.0,0.917,Stockmarket.com,1
2021-05-23 11:00:00+00:00,"In early 2011, at a luncheon at Sacramento's Hyatt Regency hotel, Apple cofounder Steve Wozniak clasped hands with a Connecticut business professor named Ralph Reilly.
According to Reilly, the pair … [+12962 chars]",0.0,0.0,0.0,1.0,Boing Boing,0
2021-05-24 14:30:51+00:00,"Institutional ownership of Apple shares of stock saw the largest sequential decline since 2013 in the March quarter, though the company is still positioned for growth, Morgan Stanley's Katy Huberty s… [+3328 chars]",0.5859,0.134,0.0,0.866,CNN,1
2021-05-24 14:32:41+00:00,"The first quarter of the year saw more institutional investors sell AAPL than buy it, according to a new report today. While the fall in institutional share ownership is a small one, this is still th… [+3187 chars]",0.296,0.059,0.0,0.941,9to5Mac,1
