,compound,positive,negative,neutral,sentiment,Open,High,Low,Close,Adj Close,Volume,prev_close,Daily_returns,RSI
2021-06-28,0.5719,0.194,0.097,0.709,1.0,133.410004,135.25,133.350006,134.779999,134.779999,62111300,133.110001,0.01254599945499213,79.38393634481267
2021-06-29,0.4767,0.111,0.0,0.889,1.0,134.800003,136.490005,134.350006,136.330002,136.330002,64556100,134.779999,0.011500244928774661,78.72870780313741
2021-06-30,0.0,0.0,0.0,1.0,0.0,136.169998,137.410004,135.869995,136.960007,136.960007,63261400,136.330002,0.004621176489089995,86.7118077874742
2021-07-01,0.7184,0.214,0.043,0.743,1.0,136.600006,137.330002,135.759995,137.270004,137.270004,52485800,136.960007,0.0022634125595510923,93.27348438544752
2021-07-02,0.7184,0.214,0.043,0.743,1.0,137.899994,140.0,137.75,139.960007,139.960007,78852600,137.270004,0.019596437106536246,100.0
2021-07-06,0.7184,0.214,0.043,0.743,1.0,140.070007,143.149994,140.070007,142.020004,142.020004,108181800,139.960007,0.014718468826598441,100.0
2021-07-07,0.7184,0.214,0.043,0.743,1.0,143.539993,144.889999,142.660004,144.570007,144.570007,104911600,142.020004,0.01795523819306477,100.0
2021-07-08,-0.25,0.04,0.069,0.891,0.0,141.580002,144.059998,140.669998,143.240005,143.240005,105575500,144.570007,-0.009199709037850501,85.12302346241081
2021-07-09,-0.25,0.04,0.069,0.891,0.0,142.75,145.649994,142.649994,145.110001,145.110001,99788400,143.240005,0.013054984185458585,87.33331549206515
2021-07-12,-0.25,0.04,0.069,0.891,0.0,146.210007,146.320007,144.0,144.5,144.5,76299700,145.110001,-0.004203714394571678,76.95958158664855
2021-07-13,-0.25,0.04,0.069,0.891,0.0,144.029999,147.460007,143.630005,145.639999,145.639999,100827100,144.5,0.007889266435985975,74.13329678222694
2021-07-14,0.4019,0.074,0.0,0.926,1.0,148.100006,149.570007,147.679993,149.149994,149.149994,127050800,145.639999,0.02410048766891304,77.0685034845772
2021-07-15,0.6523,0.145,0.037,0.818,1.0,149.240005,150.0,147.089996,148.479996,148.479996,106820300,149.149994,-0.004492108796196104,83.58973326757253
2021-07-16,0.6369,0.133,0.0,0.867,1.0,148.460007,149.759995,145.880005,146.389999,146.389999,93100300,148.479996,-0.01407595000204609,57.98004735666738
2021-07-19,0.6369,0.133,0.0,0.867,1.0,143.75,144.070007,141.669998,142.449997,142.449997,121434600,146.389999,-0.026914420567760167,40.96914261870337
2021-07-20,0.1027,0.036,0.0,0.964,1.0,143.460007,147.100006,142.960007,146.149994,146.149994,96238600,142.449997,0.025974005461018024,51.833196992463485
2021-07-21,0.1027,0.036,0.0,0.964,1.0,145.529999,146.130005,144.630005,145.399994,145.399994,74915000,146.149994,-0.005131714203149396,33.18384745319143
2021-07-22,0.1027,0.036,0.0,0.964,1.0,145.940002,148.199997,145.809998,146.800003,146.800003,77338200,145.399994,0.009628673024567158,42.92932536644558
2021-07-23,0.1027,0.036,0.0,0.964,1.0,147.550003,148.720001,146.919998,148.559998,148.559998,71361600,146.800003,0.011989066512485103,59.39393262495264
2021-07-26,0.4404,0.081,0.0,0.919,1.0,148.270004,149.830002,147.699997,148.990005,148.990005,72269700,148.559998,0.002894500577470316,90.671651072984
2021-07-27,-0.3509666666666667,0.010333333333333333,0.078,0.9116666666666666,0.0,149.119995,149.210007,145.550003,146.770004,146.770004,103580300,148.990005,-0.01490033509294797,54.72567733107812
2021-07-28,0.4565,0.1415,0.042,0.8165,1.0,144.809998,146.970001,142.539993,144.979996,144.979996,118931200,146.770004,-0.012196007026067823,47.236862534572325
